Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
2018-12-17 13:00:00,46,52.1,4.7
2018-12-17 14:00:00,46,52.1,4.7
2018-12-17 15:00:00,46,52.1,4.7
2018-12-17 16:00:00,46,52.1,4.7
2018-12-17 17:00:00,47,55.1,4.7
2018-12-17 18:00:00,47,55.1,4.7
2018-12-17 19:00:00,46,52.1,4.7
2018-12-17 20:00:00,46,52.1,4.6
2018-12-17 21:00:00,46,52.1,4.6
2018-12-17 22:00:00,46,52.1,4.6
2018-12-17 23:00:00,46,52.1,4.8
2018-12-18 00:00:00,46,52.1,4.7
2018-12-18 01:00:00,46,52.1,4.8
2018-12-18 02:00:00,46,52.1,4.7
2018-12-18 03:00:00,46,52.1,4.8
2018-12-18 04:00:00,46,52.1,4.8
2018-12-18 05:00:00,46,52.1,4.7
2018-12-18 06:00:00,46,52.1,4.7
2018-12-18 07:00:00,46,52.1,4.8
2018-12-18 08:00:00,46,52.1,4.9
2018-12-18 08:40:00,47,55.1,5.0
2018-12-18 08:50:00,47,55.1,4.9
2018-12-18 09:00:00,46,52.1,4.9
2018-12-18 09:10:00,47,55.1,4.9
2018-12-18 09:20:00,46,52.1,4.9
2018-12-18 09:30:00,46,52.1,4.9
2018-12-18 09:40:00,47,55.1,4.9
2018-12-18 09:50:00,47,55.1,4.9
2018-12-18 10:00:00,46,52.1,4.9
2018-12-18 10:10:00,46,52.1,4.9
2018-12-18 11:00:00,46,52.1,5.0
2018-12-18 12:00:00,46,52.1,5.1
2018-12-18 13:00:00,46,52.1,5.1
2018-12-18 14:00:00,46,52.1,5.1
2018-12-18 14:10:00,47,55.1,5.1
2018-12-18 14:20:00,47,55.1,5.1
2018-12-18 14:30:00,46,52.1,5.1
2018-12-18 14:40:00,46,52.1,5.1
2018-12-18 14:50:00,46,52.1,5.1
2018-12-18 15:00:00,47,55.1,5.1
2018-12-18 15:10:00,46,52.1,5.1
2018-12-18 16:00:00,46,52.1,5.0
2018-12-18 17:00:00,47,55.1,5.0
2018-12-18 18:00:00,47,55.1,4.9
2018-12-18 19:00:00,47,55.1,4.8
2018-12-18 20:00:00,45,49.3,4.8
2018-12-18 20:30:00,46,52.1,4.7
2018-12-18 20:40:00,46,52.1,4.7
2018-12-18 20:50:00,46,52.1,4.7
2018-12-18 21:00:00,46,52.1,4.7
2018-12-18 21:10:00,46,52.1,4.9
2018-12-18 21:20:00,46,52.1,4.9
2018-12-18 22:00:00,46,52.1,4.7
2018-12-18 23:00:00,46,52.1,4.6
2018-12-19 00:00:00,46,52.1,4.5
2018-12-19 01:00:00,46,52.1,4.4
2018-12-19 02:00:00,46,52.1,4.4
2018-12-19 03:00:00,46,52.1,4.3
2018-12-19 04:00:00,46,52.1,4.4
2018-12-19 05:00:00,46,52.1,4.3
2018-12-19 06:00:00,46,52.1,4.2
2018-12-19 06:40:00,46,52.1,4.1
2018-12-19 06:50:00,46,52.1,4.1
2018-12-19 07:00:00,46,52.1,4.2
2018-12-19 07:10:00,46,52.1,4.3
2018-12-19 07:20:00,46,52.1,4.2
2018-12-19 08:00:00,46,52.1,4.4
2018-12-19 08:40:00,46,52.1,4.4
2018-12-19 08:50:00,46,52.1,4.5
2018-12-19 09:00:00,46,52.1,4.6
2018-12-19 09:10:00,47,55.1,4.6
2018-12-19 09:20:00,46,52.1,4.6
2018-12-19 09:30:00,46,52.1,4.5
2018-12-19 10:00:00,46,52.1,4.6
2018-12-19 11:00:00,46,52.1,4.6
2018-12-19 11:40:00,46,52.1,4.5
2018-12-19 11:50:00,47,55.1,4.4
2018-12-19 12:00:00,46,52.1,4.4
2018-12-19 12:10:00,46,52.1,4.4
2018-12-19 12:20:00,46,52.1,4.4
2018-12-19 12:30:00,46,52.1,4.4
2018-12-19 12:40:00,46,52.1,4.4
2018-12-19 13:00:00,46,52.1,4.6
2018-12-19 13:10:00,46,52.1,4.6
2018-12-19 13:20:00,46,52.1,4.6
2018-12-19 13:30:00,46,52.1,4.5
2018-12-19 13:40:00,45,49.3,4.5
2018-12-19 13:50:00,45,49.3,4.5
2018-12-19 14:00:00,45,49.3,4.7
2018-12-19 14:10:00,45,49.3,4.5
2018-12-19 14:20:00,46,52.1,4.6
2018-12-19 14:30:00,47,55.1,4.8
2018-12-19 14:40:00,46,52.1,4.8
2018-12-19 14:50:00,46,52.1,4.8
2018-12-19 15:00:00,46,52.1,4.7
2018-12-19 15:10:00,45,49.3,4.6
2018-12-19 16:00:00,46,52.1,4.6
2018-12-19 17:00:00,46,52.1,4.6
2018-12-19 18:00:00,46,52.1,4.7
2018-12-19 19:00:00,46,52.1,4.6
2018-12-19 20:00:00,45,49.3,4.7
2018-12-19 21:00:00,46,52.1,4.8
2018-12-19 22:00:00,46,52.1,4.9
2018-12-19 23:00:00,46,52.1,4.8
2018-12-20 00:00:00,46,52.1,4.7
2018-12-20 01:00:00,46,52.1,4.7
2018-12-20 02:00:00,46,52.1,4.7
2018-12-20 03:00:00,46,52.1,4.7
2018-12-20 04:00:00,46,52.1,4.6
2018-12-20 05:00:00,46,52.1,4.6
2018-12-20 06:00:00,46,52.1,4.6
2018-12-20 07:00:00,46,52.1,4.6
2018-12-20 07:10:00,46,52.1,4.6
2018-12-20 07:20:00,46,52.1,4.7
2018-12-20 07:30:00,46,52.1,4.7
2018-12-20 07:40:00,46,52.1,4.6
2018-12-20 07:50:00,46,52.1,4.6
2018-12-20 08:00:00,46,52.1,4.6
2018-12-20 08:50:00,46,52.1,4.8
2018-12-20 09:00:00,46,52.1,4.9
2018-12-20 09:10:00,46,52.1,4.8
2018-12-20 09:20:00,46,52.1,4.8
2018-12-20 09:30:00,49,61.3,4.8
2018-12-20 09:40:00,46,52.1,4.8
2018-12-20 09:50:00,46,52.1,4.8
2018-12-20 10:00:00,46,52.1,4.8
2018-12-20 10:10:00,46,52.1,4.8
2018-12-20 10:20:00,47,55.1,4.7
2018-12-20 10:30:00,46,52.1,4.7
2018-12-20 10:40:00,46,52.1,4.6
2018-12-20 10:50:00,47,55.1,4.6
2018-12-20 11:00:00,46,52.1,4.6
2018-12-20 12:00:00,46,52.1,4.7
2018-12-20 13:00:00,47,55.1,4.8
2018-12-20 14:00:00,46,52.1,4.9
2018-12-20 14:50:00,46,52.1,4.6
2018-12-20 15:00:00,46,52.1,4.8
2018-12-20 15:10:00,46,52.1,4.9
2018-12-20 15:20:00,46,52.1,4.9
2018-12-20 15:30:00,46,52.1,4.9
2018-12-20 15:40:00,46,52.1,4.9
2018-12-20 16:00:00,46,52.1,4.8
2018-12-20 17:00:00,46,52.1,4.8
2018-12-20 18:00:00,46,52.1,4.7
